,Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
0,['Left Precentral gyrus'],['lPreCG'],0,-0.038930233,-0.006961429,0.049640386,32,0.0,0.0,0.0,0.3125,0.09375,0.0,0.5625,0.0,0.1875,37,26.0,13.0,8.0,29.0,19.0,3.0,23.0,8.0,0_r,0,Precentralgyrus'],0.0,0.0,0.3229166665,0.232060185,0.0,0.503472222,0.0,0.1493055555,29.0,15.0,5.0,17.0,21.0,3.0,27.0,7.0
1,['Right Precentral gyrus'],['rPreCG'],1,0.041100858,-0.009549837,0.05080982,27,0.0,0.0,0.0,0.333333333,0.37037037,0.0,0.444444444,0.0,0.111111111,37,26.0,13.0,6.0,9.0,19.0,6.0,23.0,9.0,1_r,1,Precentralgyrus'],0.0,0.0,0.3229166665,0.232060185,0.0,0.503472222,0.0,0.1493055555,29.0,15.0,5.0,17.0,21.0,3.0,27.0,7.0
2,['Left Superior Frontal gyrus'],['lSFG'],2,-0.018772992,0.033489858,0.040954154,27,0.111111111,0.0,0.111111111,0.0,0.037037037,0.0,0.0,0.0,0.037037037,31,26.0,9.0,18.0,31.0,19.0,26.0,23.0,13.0,2_r,2,SuperiorFrontalgyrus'],0.0,0.136200717,0.0,0.0185185185,0.0,0.0161290325,0.0,0.034647551,29.0,7.0,23.0,33.0,21.0,25.0,27.0,15.0
3,['Right Superior Frontal gyrus'],['rSFG'],3,0.021603057,0.029910256,0.042504438,31,0.161290323,0.0,0.161290323,0.0,0.0,0.0,0.032258065,0.0,0.032258065,26,26.0,7.0,18.0,32.0,19.0,24.0,23.0,14.0,3_r,3,SuperiorFrontalgyrus'],0.0,0.136200717,0.0,0.0185185185,0.0,0.0161290325,0.0,0.034647551,29.0,7.0,23.0,33.0,21.0,25.0,27.0,15.0
4,"['Left Superior Frontal gyrus, Orbital']",['lSFo'],4,-0.016824507,0.045919003,-0.014718588,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,19.0,26.0,23.0,15.0,4_r,4,"SuperiorFrontalgyrus,Orbital']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,23.0,35.0,21.0,29.0,27.0,17.0
5,"['Right Superior Frontal gyrus, Orbital']",['rSFo'],5,0.018178536,0.046617854,-0.015494483,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,19.0,26.0,23.0,15.0,5_r,5,"SuperiorFrontalgyrus,Orbital']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,23.0,35.0,21.0,29.0,27.0,17.0
6,['Left Middle Frontal gyrus'],['lMFG'],6,-0.033758997,0.031489204,0.034130783,34,0.0,0.0,0.0,0.088235294,0.235294118,0.0,0.147058824,0.0,0.0,37,26.0,13.0,15.0,20.0,19.0,22.0,23.0,15.0,6_r,6,MiddleFrontalgyrus'],0.0,0.025,0.119117647,0.230147059,0.0,0.16102941199999998,0.0125,0.0,29.0,13.0,13.0,19.0,21.0,19.0,25.0,17.0
7,['Right Middle Frontal gyrus'],['rMFG'],7,0.03739185,0.031750784,0.032814263,40,0.05,0.0,0.05,0.15,0.225,0.0,0.175,0.025,0.0,35,26.0,12.0,11.0,21.0,19.0,17.0,22.0,15.0,7_r,7,MiddleFrontalgyrus'],0.0,0.025,0.119117647,0.230147059,0.0,0.16102941199999998,0.0125,0.0,29.0,13.0,13.0,19.0,21.0,19.0,25.0,17.0
8,"['Left Middle Frontal gyrus, Orbital']",['lMFGo'],8,-0.030885135,0.049141892,-0.010986486,7,0.0,0.0,0.0,0.0,0.285714286,0.0,0.0,0.0,0.0,37,26.0,13.0,18.0,13.0,19.0,26.0,23.0,15.0,8_r,8,"MiddleFrontalgyrus,Orbital']",0.0,0.0,0.0,0.142857143,0.0,0.0,0.0,0.0,29.0,15.0,23.0,27.0,21.0,29.0,27.0,17.0
9,"['Right Middle Frontal gyrus, Orbital']",['rMFGo'],9,0.032894581,0.051274877,-0.012141872,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,19.0,26.0,23.0,15.0,9_r,9,"MiddleFrontalgyrus,Orbital']",0.0,0.0,0.0,0.142857143,0.0,0.0,0.0,0.0,29.0,15.0,23.0,27.0,21.0,29.0,27.0,17.0
