u,v
0,2
0,3
0,4
0,7
0,9
0,10
0,11
0,12
0,14
0,16
0,18
0,19
0,20
0,21
0,23
0,24
0,26
0,27
1,2
1,3
1,4
1,7
1,9
1,10
1,11
1,12
1,18
1,19
1,20
1,21
2,3
2,7
2,9
2,10
2,11
2,13
2,14
2,15
2,16
2,17
2,23
2,25
3,4
3,7
3,9
3,17
3,19
3,20
3,26
4,5
4,7
4,9
4,11
4,13
4,14
4,15
4,16
4,19
4,22
4,23
4,26
4,27
5,7
5,11
5,14
5,15
5,16
5,19
5,20
5,21
5,23
5,26
5,27
6,8
6,11
6,18
6,19
6,22
7,8
7,9
7,18
7,20
7,21
8,11
8,13
8,15
8,17
8,18
8,19
8,22
8,26
9,10
9,11
9,12
9,14
9,16
9,18
9,19
9,21
9,26
9,27
10,12
10,15
10,16
10,18
10,21
10,23
10,24
10,26
10,27
11,12
11,16
11,19
11,20
11,21
11,23
11,24
11,26
11,27
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,23
12,24
12,26
12,27
13,18
13,19
13,26
14,16
14,18
14,20
14,21
14,23
14,27
15,16
15,17
15,19
15,20
15,21
15,22
15,24
15,26
15,27
16,17
16,19
16,20
16,21
16,23
16,24
16,26
16,27
17,26
17,27
18,21
18,22
18,23
18,24
18,25
19,20
19,21
19,23
19,27
20,21
20,26
20,27
21,22
21,24
21,26
21,27
22,26
22,27
24,26
24,27
