u,v
0,2
0,3
0,5
0,7
0,9
0,10
0,11
0,12
0,15
0,20
1,2
1,3
1,4
1,5
1,7
1,9
1,11
1,12
1,14
1,16
1,20
1,21
1,24
1,26
2,4
2,5
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,19
2,22
2,25
2,26
3,8
3,19
3,24
3,25
4,7
4,9
4,10
4,11
4,12
4,15
4,16
4,20
4,22
4,23
4,26
5,7
5,9
5,10
5,11
5,12
5,15
5,16
5,17
5,19
5,20
5,23
5,26
6,8
6,13
6,16
6,18
6,22
6,23
7,9
7,15
7,16
7,18
7,20
7,24
7,26
8,11
8,13
8,15
8,17
8,18
8,19
9,10
9,11
9,12
9,15
9,16
9,20
9,26
10,16
10,18
10,19
10,21
10,23
10,26
10,27
11,12
11,15
11,16
11,20
11,23
11,25
11,26
11,27
12,14
12,16
12,18
12,19
12,20
12,21
12,24
12,26
12,27
13,19
14,23
15,17
15,19
15,20
15,22
15,25
15,27
16,17
16,20
16,22
16,23
16,24
16,26
16,27
17,18
17,21
17,25
17,26
17,27
18,21
18,22
18,23
18,25
19,21
19,22
19,24
19,26
20,26
21,23
21,24
21,26
21,27
22,25
22,26
23,24
24,27
